Date,Open,High,Low,Close,Volume,Market Cap
20-Feb-18,137.95,142.01,127.86,128.36,239238000,"376,555,408"
19-Feb-18,127.23,138.52,126.7,137.47,201551000,"-319,644,592"
18-Feb-18,136.4,137.95,124.32,127.38,207624000,"276,165,408"
17-Feb-18,131.03,139.8,129.42,136.75,286385000,"-73,314,592"
16-Feb-18,123.02,130.62,119.94,128.85,194878000,"-593,554,592"
15-Feb-18,122,125.76,118.79,123.29,218616000,"-659,634,592"
14-Feb-18,110.86,123.03,110.86,122.52,228693000,"-1,383,794,592"
13-Feb-18,113.64,114.93,108.64,111.17,176966000,"-1,203,514,592"
12-Feb-18,104.18,115.85,104.18,113.25,272089000,"-1,818,334,592"
11-Feb-18,110.45,113.19,96.78,103.4,257944000,"-1,410,934,592"
10-Feb-18,117.21,122.84,104.98,110.63,355323000,"-971,054,592"
09-Feb-18,111.99,117.65,108.84,117.57,212450000,"-1,310,624,592"
08-Feb-18,104.06,117,104.06,112.43,546733000,"-1,826,374,592"
07-Feb-18,105.13,118.5,94.94,102.5,571724000,"-1,756,234,592"
06-Feb-18,84.07,109.21,64.88,105.95,659946000,"1,169,542,704"
05-Feb-18,107.58,108.97,75.75,82.37,312096000,"-1,597,554,592"
04-Feb-18,122.22,124.01,102.03,107.45,203674000,"-645,964,592"
03-Feb-18,121.03,127.28,106.91,122.97,255707000,"-722,724,592"
02-Feb-18,125.64,129.19,91.96,120.13,552639000,"-423,224,592"
01-Feb-18,145.96,147.16,115.27,126,356495000,"897,265,408"
31-Jan-18,145.4,148.18,133.32,145.76,357309000,"861,155,408"
30-Jan-18,168.86,173.75,140.13,146.28,670295000,"-1,908,801,888"
29-Jan-18,152.08,168.14,151.46,168.14,602514000,"1,295,325,408"
28-Jan-18,140.37,153.61,140.37,152.16,246175000,"534,165,408"
27-Jan-18,138.14,142.07,134.35,140.2,207868000,"389,215,408"
26-Jan-18,137.75,141.13,126.53,137.89,324067000,"363,665,408"
25-Jan-18,138.09,146.94,134.58,138,315010000,"386,215,408"
24-Jan-18,122.57,144.12,118.15,136.41,433360000,"-622,954,592"
23-Jan-18,123.37,129.71,110.18,121.6,263389000,"-571,164,592"
22-Jan-18,132.3,137.78,112.38,123.66,346611000,"9,545,408"
21-Jan-18,150.23,150.23,126.2,131.09,346048000,"1,174,865,408"
20-Jan-18,140.49,157.19,138.65,149.94,501671000,"542,085,408"
19-Jan-18,141.25,150.15,132.97,139.5,494800000,"591,195,408"
18-Jan-18,142.6,159.49,129.85,142.66,838634000,"679,265,408"
17-Jan-18,144.72,154.29,94.57,141.37,1587920000,"817,215,408"
16-Jan-18,187.97,187.97,104.29,145.3,1664430000,"-667,001,888"
15-Jan-18,170.1,196.85,147.4,187.41,1455620000,"-1,828,401,888"
14-Jan-18,140.56,176.83,135.92,170.42,648694000,"546,525,408"
13-Jan-18,124.15,146.51,124.15,140.62,455703000,"-520,434,592"
12-Jan-18,109.19,126.55,105.25,124.47,234757000,"-1,492,884,592"
11-Jan-18,123.1,124.33,102.66,108.3,270718000,"-588,154,592"
10-Jan-18,127.23,127.26,111.05,122.99,361797000,"-319,654,592"
09-Jan-18,102.07,129.87,101.84,126.94,529663000,"-1,955,624,592"
08-Jan-18,102.12,108.6,90.68,102.38,231395000,"-1,951,934,592"
07-Jan-18,101.12,108.52,99.2,102.43,196621000,"-2,017,064,592"
06-Jan-18,95.31,103.13,91.9,100.86,187746000,"1,900,092,704"
05-Jan-18,98.91,106.24,89.58,95.28,292933000,"2,134,252,704"
04-Jan-18,104.79,109.2,96.24,99.11,332546000,"-1,778,514,592"
03-Jan-18,90.3,105.56,86.89,105.56,288086000,"1,574,282,704"
02-Jan-18,78.53,97.01,78.53,90.33,373377000,"809,212,704"
01-Jan-18,76.19,80.69,72.72,78.82,142094000,"657,482,704"
31-Dec-17,72.56,78.01,67.69,75.96,181357000,"421,122,704"
30-Dec-17,74.18,74.54,63.02,72.4,202377000,"526,872,704"
29-Dec-17,65.7,74.82,63.14,73.9,163331000,"-24,447,296"
28-Dec-17,66.76,66.94,58.22,65.43,135592000,"44,562,704"
27-Dec-17,65.53,70.29,62.88,66.88,153715000,"-35,757,296"
26-Dec-17,66.61,68.8,61.86,65.52,195466000,"34,422,704"
25-Dec-17,60.27,68.37,58.39,66.32,170538000,"-377,567,296"
24-Dec-17,59.32,59.97,51.84,59.7,160158000,"-439,067,296"
23-Dec-17,56.32,67.75,56.32,58.9,146282000,"-634,257,296"
22-Dec-17,71.54,72.28,43.39,55.57,297579000,"355,252,704"
21-Dec-17,76.12,79.04,67.49,71.37,225272000,"653,042,704"
20-Dec-17,71.31,77.5,63.1,75.62,305912000,"339,952,704"
19-Dec-17,77.19,82.1,66.59,70.81,290083000,"722,452,704"
18-Dec-17,68.45,81.06,63.96,77.22,437849000,"154,572,704"
17-Dec-17,49.74,71.72,49.74,68.11,500799000,"-1,061,847,296"
16-Dec-17,48.14,52.26,46.93,49.81,164723000,"-1,165,697,296"
15-Dec-17,50.54,51.24,43.13,47.99,204065000,"-1,009,947,296"
14-Dec-17,44.9,53.65,44.4,50.62,313147000,"-1,376,267,296"
13-Dec-17,40.73,49.07,37.49,44.81,294500000,"-1,647,347,296"
